timestamp,open,high,low,close,volume
2026-02-28 21:30:46.199061,32015.97955366412,32053.457558201168,32005.834846802114,32043.034267361643,2631
2026-02-28 22:30:46.199061,32025.521040944484,32037.97131760173,31976.461200463043,32038.096299926106,4748
2026-02-28 23:30:46.199061,32068.486824932097,32073.09518288403,32044.57055611689,32096.516205550717,2534
2026-03-01 00:30:46.199061,32039.107741748983,32067.58475097387,32000.68636367465,32021.80734610026,4213
2026-03-01 01:30:46.199061,32081.695749908733,32110.108719909233,32054.221005143085,32094.068427120583,668
2026-03-01 02:30:46.199061,32012.172026188586,32065.83782385496,31966.793590479658,32013.318855518337,3166
2026-03-01 03:30:46.199061,32007.444685696755,32007.78662529203,32005.911322945707,32034.023013091206,1280
2026-03-01 04:30:46.199061,32052.47237846494,32059.35915521847,32038.864722678594,32068.574784992717,2358
2026-03-01 21:30:46.199061,31958.38613746861,31999.24154887995,31948.190629867975,31930.310708171994,2954
2026-03-01 22:30:46.199061,31914.773588604094,31942.258665041125,31870.436704746022,31915.229131801967,2560
2026-03-01 23:30:46.199061,31828.346588712982,31843.528569180802,31796.70076004849,31825.325906400853,1763
2026-03-02 00:30:46.199061,31810.132004653937,31819.908336322263,31795.89843582123,31795.700055743237,4311
2026-03-02 01:30:46.199061,31767.506110048664,31782.516106476396,31765.406961564957,31760.735027677507,2680
2026-03-02 02:30:46.199061,31736.254382191408,31763.66237560131,31721.030770987498,31724.639151615578,904
2026-03-02 03:30:46.199061,31749.19121041727,31768.049216105002,31697.021509896844,31726.647452726404,4688
2026-03-02 04:30:46.199061,31822.086655487237,31847.343249729565,31811.781349575733,31822.288687323748,2134
2026-03-02 21:30:46.199061,31911.410375314044,31926.68504020767,31842.25384640373,31886.010312146904,4908
2026-03-02 22:30:46.199061,31793.805124141407,31797.065462555947,31747.702211612203,31771.0443301821,3588
2026-03-02 23:30:46.199061,31834.586695543036,31863.26432698246,31797.827810567855,31797.36149163226,520
2026-03-03 00:30:46.199061,31787.120169857233,31792.0066398448,31767.629235629785,31795.03668181763,272
2026-03-03 01:30:46.199061,31809.79411774515,31838.567521779198,31788.729230357203,31819.270907739872,618
2026-03-03 02:30:46.199061,31845.934547657453,31912.549369043816,31838.919512524215,31856.54476130425,3366
2026-03-03 03:30:46.199061,31877.176018314625,31907.68580890923,31872.905851865547,31880.102268764385,3793
2026-03-03 04:30:46.199061,31943.953627069324,31962.42925463985,31930.961256503684,31959.42617506143,4579
2026-03-03 21:30:46.199061,31947.450016766667,31956.639426991005,31921.441292434454,31929.24886947372,2211
2026-03-03 22:30:46.199061,31976.323519293695,31980.626797444336,31954.83492859337,31976.21374268838,4890
2026-03-03 23:30:46.199061,31978.65403774018,32021.361042207693,31967.657236316616,31968.22650328301,2312
2026-03-04 00:30:46.199061,31938.10279744335,31959.297797020914,31937.65132865117,31948.744974490113,2498
2026-03-04 01:30:46.199061,31828.0745373547,31853.966497398862,31816.830222119024,31845.00619487313,2140
2026-03-04 02:30:46.199061,31826.20939116286,31852.19859409294,31767.81430905685,31856.115882843744,1934
2026-03-04 03:30:46.199061,31812.33985743962,31855.533316219447,31811.361840699836,31820.9700561014,3232
2026-03-04 04:30:46.199061,31915.125393607766,31929.133997439814,31900.82343016475,31899.139900805723,1377
2026-03-04 21:30:46.199061,31947.00686948813,31951.5741629397,31945.282139571336,31960.65223874977,742
2026-03-04 22:30:46.199061,31982.077068048613,31982.494486601263,31932.74929348682,31952.625940853864,1529
2026-03-04 23:30:46.199061,31976.44154830799,32004.234929275037,31935.430707311785,31952.357826343796,3740
2026-03-05 00:30:46.199061,32008.849725827262,32052.917582708676,31990.255695049575,31995.705648404255,2068
2026-03-05 01:30:46.199061,32014.4251400649,32067.426413106496,32011.18857983387,32012.493151524133,4515
2026-03-05 02:30:46.199061,31979.193112450146,32022.686830753664,31943.142252549565,31944.706884041298,2703
2026-03-05 03:30:46.199061,31912.462772020543,31935.916725047904,31862.279295933466,31911.05699004158,3891
2026-03-05 04:30:46.199061,31867.64229812777,31873.84375909384,31842.66121116482,31865.74501149201,4490
